Sample,Date,a (412)
HC1,7/7/2014,
AR1,7/7/2021,2.16482
AR2,7/7/2021,2.303
AR3,7/7/2021,4.23752
CC1,7/7/2021,1.56604
CH1,7/7/2021,1.65816
CH2,7/7/2021,
CH3,7/7/2021,1.56604
CS1,7/7/2021,1.56604
FB1,7/7/2021,1.3818
FC1,7/7/2021,2.71754
HC2,7/7/2021,3.50056
JIC1,7/7/2021,2.5333
JIC2,7/7/2021,2.90178
SC1,7/7/2021,1.3818
SC2,7/7/2021,2.16482
SC3,7/7/2021,2.57936
SR1,7/7/2021,2.21088
WC1,7/7/2021,1.65816
WR1,7/7/2021,
AR1,7/14/2021,3.27026
AR2,7/14/2021,2.16482
AR3,7/14/2021,3.86904
CC1,7/14/2021,1.19756
CH1,7/14/2021,1.56604
CH2,7/14/2021,1.47392
CH3,7/14/2021,1.10544
CS1,7/14/2021,1.65816
FB1,7/14/2021,1.3818
FC1,7/14/2021,8.2908
HC1,7/14/2021,1.3818
HC2,7/14/2021,1.42786
JIC1,7/14/2021,2.5333
JIC2,7/14/2021,4.32964
SC1,7/14/2021,0.96726
SC2,7/14/2021,2.5333
SC3,7/14/2021,1.8424
SR1,7/14/2021,1.98058
WC1,7/14/2021,3.6848
WR1,7/14/2021,2.25694
AR1,7/21/2021,3.59268
AR2,7/21/2021,3.77692
AR3,7/21/2021,10.27138
CC1,7/21/2021,1.33574
CH1,7/21/2021,1.75028
CH2,7/21/2021,2.62542
CH3,7/21/2021,3.4545
CS1,7/21/2021,2.11876
FB1,7/21/2021,3.13208
FC1,7/21/2021,9.62654
HC1,7/21/2021,2.57936
HC2,7/21/2021,2.303
JIC1,7/21/2021,3.54662
JIC2,7/21/2021,10.68592
SC1,7/21/2021,1.6121
SC2,7/21/2021,2.80966
SC3,7/21/2021,6.31022
SR1,7/21/2021,3.4545
WC1,7/21/2021,6.86294
WR1,7/21/2021,3.36238
AR1,7/28/2021,
AR2,7/28/2021,5.2969
AR3,7/28/2021,15.98282
CC1,7/28/2021,1.8424
CH1,7/28/2021,
CH2,7/28/2021,
CH3,7/28/2021,
CS1,7/28/2021,1.28968
FB1,7/28/2021,6.4484
FC1,7/28/2021,9.94896
HC1,7/28/2021,
HC2,7/28/2021,1.8424
JIC1,7/28/2021,
JIC2,7/28/2021,10.22532
SC1,7/28/2021,1.56604
SC2,7/28/2021,1.79634
SC3,7/28/2021,4.00722
SR1,7/28/2021,2.303
WC1,7/28/2021,5.80356
WR1,7/28/2021,2.25694
AR1,8/4/2021,5.20478
AR2,8/4/2021,5.57326
AR3,8/4/2021,10.04108
CC1,8/4/2021,5.66538
CH1,8/4/2021,4.55994
CH2,8/4/2021,2.62542
CH3,8/4/2021,2.11876
CS1,8/4/2021,4.97448
FB1,8/4/2021,5.5272
FC1,8/4/2021,8.01444
HC1,8/4/2021,4.28358
HC2,8/4/2021,5.15872
JIC1,8/4/2021,5.80356
JIC2,8/4/2021,6.2181
SC1,8/4/2021,2.39512
SC2,8/4/2021,3.03996
SC3,8/4/2021,6.63264
SR1,8/4/2021,4.8363
WC1,8/4/2021,8.84352
WR1,8/4/2021,2.94784
AR1,8/11/2021,3.86904
