Date_Extracted,Sample_ID,Sample_number,Diatoms/DinoA,DinoB,Cyanos,PrasinoA,PrasinoB,Chloro,RaphidoA,HaptoA/ChrysoA/DinoC,Eugleno
4/28/2021,AR1,AR1_0428,85.47,1.28,0,3.52,0,0,3.63,1.95,4.14
4/28/2021,AR2,AR2_0428,87.99,0,0,4.48,0.43,0,4.33,0,2.78
4/28/2021,AR3,AR3_0428,88.99,0.95,0,0.07,4.93,0,0.56,0,4.5
4/28/2021,CC1,CC1_0428,,,,,,,,,
4/28/2021,CH1,CH1_0428,87.3,0.61,0,3.97,7.6,0.01,0.04,0,0.47
4/28/2021,CH2,CH2_0428,71.4,0,11.76,1.12,0.53,0,3.35,5.07,6.77
4/28/2021,CH3,CH3_0428,78.3,0,8.08,3.35,1.77,3.55,3.17,0,1.78
4/28/2021,CS1,CS1_0428,77.36,0,7.38,2.54,6.32,3.59,1.83,0,0.98
4/28/2021,FB1,FB1_0428,80.01,0,0,4.37,15.18,0.03,0.01,0,0.39
4/28/2021,FC1,FC1_0428,68.86,1.2,15.46,0,0,0.73,0.09,5.58,8.08
4/28/2021,HC1,HC1_0428,90.43,0,0,2.67,2.67,0,0.04,0,4.2
4/28/2021,HC2,HC2_0428,89.27,1.05,0,0,0.15,0,0.35,1.4,7.77
4/28/2021,JIC1,JIC1_0428,90.1,0,0,3.98,3.98,0,0.01,0,1.93
4/28/2021,JIC2,JIC2_0428,76.74,1.16,12.94,0.11,0,4.77,0.02,0.33,3.93
4/28/2021,SC1,SC1_0428,78.56,0.79,11.69,0.43,0,3.85,0,0.57,4.1
4/28/2021,SC2,SC2_0428,82.26,0.9,0,8.09,4.15,0,2.82,0,1.79
4/28/2021,SC3,SC3_0428,62.78,0.02,11.36,3.99,4.61,0.45,5.87,4.37,6.54
4/28/2021,SR1,SR1_0428,89.98,0.73,0,3.17,2.22,0,0.06,0,3.85
4/28/2021,WC1,WC1_0428,73.99,1.23,13.88,0,0,0.95,0.22,4.71,5.03
4/28/2021,WR1,WR1_0428,71.31,1.49,7.98,9.71,0,0.37,3.77,4,1.37
5/5/2021,AR1,AR1_0505,67.96,1.21,10.31,9.82,0,0.84,3.43,4.08,2.36
5/5/2021,AR2,AR2_0505,78.59,0.37,6.64,3.37,5.36,3.39,2.23,0,0.04
5/5/2021,AR3,AR3_0505,81.84,0.94,0,8.72,2.17,1.92,1.33,2.78,0.3
5/5/2021,CC1,CC1_0505,71.59,0,10.29,4.39,4.42,4,3.54,0,1.78
5/5/2021,CH1,CH1_0505,82.59,0,9.46,1.32,1.29,3.98,0,0,1.36
5/5/2021,CH2,CH2_0505,63.29,0.02,15.99,0,0,0,6.35,3.84,10.52
5/5/2021,CH3,CH3_0505,87.83,0.07,0,5.21,0.28,0.02,5.06,0.01,1.52
5/5/2021,CS1,CS1_0505,70.94,0.1,9.32,3,0.79,3.13,6.12,0,6.59
5/5/2021,FB1,FB1_0505,80.65,0,0,2.41,14.86,0.05,2.03,0,0
5/5/2021,FC1,FC1_0505,61.79,1.31,15.5,0,0,0,3.33,11.76,6.31
5/5/2021,HC1,HC1_0505,66.92,0.08,12.15,0,0.04,0,6.49,6.67,7.64
5/5/2021,HC2,HC2_0505,76.73,0.73,9.37,0.25,0,3.09,3.93,1.7,4.21
5/5/2021,JIC1,JIC1_0505,76.06,0,5.66,5.57,6.76,3.58,2.34,0,0.04
5/5/2021,JIC2,JIC2_0505,88.39,0.12,0,1.82,3.04,0,3.08,0,3.55
5/5/2021,SC1,SC1_0505,51.32,0.05,14.84,0.44,1.91,0,8.72,7.72,15.01
5/5/2021,SC2,SC2_0505,76.81,0.11,0,2.46,0,0,8.6,0.58,11.45
5/5/2021,SC3,SC3_0505,90.21,0.09,0,2.01,5.88,0.08,1.65,0,0.08
5/5/2021,SR1,SR1_0505,77.79,0,0,4.8,0,0,5.42,3.2,8.79
5/5/2021,WC1,WC1_0505,66.4,0,13.57,6.37,0,1.9,3.5,3.57,4.68
5/5/2021,WR1,WR1_0505,51.42,0.03,18.05,2.58,0.27,0,8.07,8.57,11.01
5/19/2021,AR1,AR1_0519,70.7,1.26,11.21,0,0,0,3.9,5.46,7.48
5/19/2021,AR2,AR2_0519,74.88,1.13,9.22,0,0,0,4.24,4.57,5.96
5/19/2021,AR3,AR3_0519,73.97,1.46,8.5,0,0,0,3.55,4.71,7.81
5/19/2021,CC1,CC1_0519,76.32,0.61,8.47,0,0.01,4.5,4.63,0.43,5.03
5/19/2021,CH1,CH1_0519,74.29,0.95,8.58,0,0,0,4.99,5.3,5.88
5/19/2021,CH2,CH2_0519,82.4,1.17,0,0.04,0,0,5.35,3.31,7.73
5/19/2021,CH3,CH3_0519,68.42,1.49,9.42,0,0,0,5.52,8.08,7.07
5/19/2021,CS1,CS1_0519,75.86,0,10.39,0,0,3.98,3.98,0.05,5.74
5/19/2021,FB1,FB1_0519,79.77,0.44,6.63,3.77,1.72,2.97,2.94,0,1.77
5/19/2021,FC1,FC1_0519,35.73,0,5.82,4.94,30.96,0,18.65,3.89,0
5/19/2021,HC1,HC1_0519,68.43,1,12.01,0,0,0,4.18,8.44,5.93
5/19/2021,HC2,HC2_0519,68.18,0.98,14.68,0,0,0,4.51,6.45,5.21
