Sample ID,Date Extracted,Phycoerytherin Final Adjusted Concentration (?g/L),Phycocyanin Final Adjusted Concentration (?g/L),Chlorophyll a Final Adjusted Concentration (?g/L),PE:PC,PE:Chla,PC:Chla,Temp,Salinity,Nitrate,Phosphate (uM),Adj Tidal Ht,Latitude,Longitude
AR1,4/28/2021,0,0.309,6.3651,0,0,0.048545977,24,,,,5.6459,32.77628333,-79.95345
AR2,4/28/2021,0.002,0.232,4.3181,0.00862069,0.000463167,0.053727334,24.5,,,,5.4035,32.78831111,-79.96333889
AR3,4/28/2021,0.005,0.372,9.2111,0.01344086,0.000542823,0.040386056,22,,,,5.9171,32.83527222,-79.98680278
CC1,4/28/2021,,,,,,,,,,,,32.76276389,-79.856175
CH1,4/28/2021,0.001,0.425,8.7371,0.002352941,0.000114454,0.048643142,24,,,,5.4708,32.75498056,-79.91612222
CH2,4/28/2021,0.001,0.219,2.8791,0.00456621,0.000347331,0.076065437,24,,,,5.41,32.79008333,-79.911
CH3,4/28/2021,0.003,0.136,4.7626,0.022058824,0.000629908,0.028555831,25,,,,5.64,32.77161667,-79.92473333
CS1,4/28/2021,0.002,0.294,7.8491,0.006802721,0.000254806,0.037456524,23,,,,5.564,32.71671667,-79.93056389
FB1,4/28/2021,0.003,0.277,5.8561,0.010830325,0.000512286,0.047301105,22,,,,5.5449,32.66033611,-79.94351111
FC1,4/28/2021,0.003,0.308,2.2816,0.00974026,0.001314867,0.134992987,21,,,,5.4075,32.89123611,-79.97089167
HC1,4/28/2021,0.002,0.147,4.1841,0.013605442,0.000478,0.035133004,24.5,,,,5.6959,32.82426944,-79.88969167
HC2,4/28/2021,0.002,0.233,3.7206,0.008583691,0.000537548,0.062624308,23,,,,5.6959,32.82524444,-79.87728611
JIC1,4/28/2021,0.003,0.222,6.8816,0.013513514,0.000435945,0.03225994,24.5,,,,5.7018,32.75069722,-79.95013333
JIC2,4/28/2021,0.003,0.306,5.2226,0.009803922,0.000574427,0.058591506,22.5,,,,5.763,32.7445,-79.97116667
SC1,4/28/2021,0.003,0.298,4.5221,0.010067114,0.000663409,0.065898587,24,,,,4.9896,32.79041667,-79.88506389
SC2,4/28/2021,0.002,0.277,4.5641,0.007220217,0.000438202,0.060691045,22.5,,,,4.6431,32.79319444,-79.87646389
SC3,4/28/2021,0.003,0.232,2.9186,0.012931034,0.00102789,0.079490167,22.5,,,,4.6431,32.80481667,-79.86159722
SR1,4/28/2021,0.002,0.248,4.1641,0.008064516,0.000480296,0.059556687,22,,,,5.6459,32.66838056,-79.99750278
WC1,4/28/2021,0.002,0.344,5.4336,0.005813953,0.00036808,0.063309776,21.5,,,,5.5539,32.76715278,-79.97273889
WR1,4/28/2021,0,0.212,4.2571,0,0,0.049799159,24,,,,5.7783,32.85537778,-79.90159167
AR1,5/5/2021,0.001,0.101,4.4225,0.00990099,0.000226116,0.022837761,25.5,,,,1.2285,32.77628333,-79.95345
AR2,5/5/2021,0.009,0.16,12.829,0.05625,0.000701536,0.012471744,25,,,,1.491,32.78831111,-79.96333889
AR3,5/5/2021,0.005,0.223,7.668,0.022421525,0.000652061,0.029081899,25,,,,1.491,32.83527222,-79.98680278
CC1,5/5/2021,0.004,0.206,7.061,0.019417476,0.000566492,0.029174338,25,,,,0.551,32.76276389,-79.856175
CH1,5/5/2021,0.014,0.362,8.3355,0.038674033,0.001679563,0.043428709,24,,,,0.74,32.75498056,-79.91612222
CH2,5/5/2021,0.002,0.171,2.299,0.011695906,0.000869943,0.074380165,24,,,,0.38,32.79008333,-79.911
CH3,5/5/2021,0.004,0.068,7.793,0.058823529,0.000513281,0.00872578,25.5,,,,0.36,32.77161667,-79.92473333
CS1,5/5/2021,0.005,0.207,9.2695,0.024154589,0.000539403,0.022331302,26.5,,,,0.34,32.71671667,-79.93056389
FB1,5/5/2021,0.007,0.134,15.35,0.052238806,0.000456026,0.008729642,26,,,,0.361,32.66033611,-79.94351111
FC1,5/5/2021,0.003,0.183,3.4765,0.016393443,0.000862937,0.052639149,24.5,,,,1.7,32.89123611,-79.97089167
HC1,5/5/2021,0.003,0.173,3.6375,0.01734104,0.000824742,0.047560137,25,,,,0.323,32.82426944,-79.88969167
HC2,5/5/2021,0.005,0.208,6.7745,0.024038462,0.000738062,0.030703373,25.5,,,,0.323,32.82524444,-79.87728611
JIC1,5/5/2021,0.003,0.052,8.0105,0.057692308,0.000374508,0.00649148,25,,,,0.987,32.75069722,-79.95013333
JIC2,5/5/2021,0.006,0.381,9.961,0.015748031,0.000602349,0.038249172,27,,,,0.777,32.7445,-79.97116667
SC1,5/5/2021,0.016,0.132,4.282,0.121212121,0.003736572,0.030826716,26.5,,,,0.45,32.79041667,-79.88506389
SC2,5/5/2021,0.002,0,2.258,0,0.00088574,0,26,,,,0.52,32.79319444,-79.87646389
SC3,5/5/2021,0.006,0.09,6.5615,0.066666667,0.000914425,0.013716376,26,,,,0.52,32.80481667,-79.86159722
SR1,5/5/2021,0.039,0.193,4.3615,0.202072539,0.008941878,0.044250831,25.5,,,,0.551,32.66838056,-79.99750278
WC1,5/5/2021,0.002,0.14,3.2965,0.014285714,0.000606704,0.042469286,25.5,,,,0.9306,32.76715278,-79.97273889
WR1,5/5/2021,0.004,0.076,3.7085,0.052631579,0.001078603,0.020493461,25.5,,,,0.342,32.85537778,-79.90159167
AR1,5/19/2021,0.0052,0.196,5.3418,0.026530612,0.000973455,0.036691752,25,,,,0.756,32.77628333,-79.95345
AR2,5/19/2021,0.0022,0.343,7.4638,0.006413994,0.000294756,0.045955143,25,,,,0.693,32.78831111,-79.96333889
AR3,5/19/2021,0.0062,0.36,9.4148,0.017222222,0.000658538,0.038237668,24,,,,0.756,32.83527222,-79.98680278
CC1,5/19/2021,0.0042,0.196,8.2463,0.021428571,0.000509319,0.023768235,24.5,,,,1.045,32.76276389,-79.856175
CH1,5/19/2021,0.0052,0.391,7.7443,0.013299233,0.000671462,0.050488747,25,,,,0.94,32.75498056,-79.91612222
CH2,5/19/2021,0.0032,0.159,4.5388,0.020125786,0.000705032,0.035031286,25,,,,1.5,32.79008333,-79.911
CH3,5/19/2021,0.0012,0.092,6.1553,0.013043478,0.000194954,0.014946469,25,,,,2.24,32.77161667,-79.92473333
CS1,5/19/2021,0.0062,0.188,5.5058,0.032978723,0.001126085,0.03414581,24.5,,,,1.7646,32.71671667,-79.93056389
FB1,5/19/2021,0.0052,0.311,9.9053,0.016720257,0.000524971,0.031397333,24.5,,,,1.425,32.66033611,-79.94351111
FC1,5/19/2021,0.0072,0.427,9.3573,0.016861827,0.000769453,0.045632821,28,,,,0.64,32.89123611,-79.97089167
HC1,5/19/2021,0.0022,0.204,7.3078,0.010784314,0.000301048,0.027915378,25.5,,,,1.6435,32.82426944,-79.88969167
HC2,5/19/2021,0.0042,0.368,4.6948,0.011413043,0.000894607,0.078384596,26,,,,1.6435,32.82524444,-79.87728611
JIC1,5/19/2021,0.0042,0.27,6.1973,0.015555556,0.000677714,0.04356736,25.5,,,,0.8505,32.75069722,-79.95013333
JIC2,5/19/2021,0.0062,0.381,6.7218,0.016272966,0.000922372,0.056681246,25,,,,0.987,32.7445,-79.97116667
SC1,5/19/2021,0.0042,0.27,3.9563,0.015555556,0.001061598,0.068245583,26,,,,1.29,32.79041667,-79.88506389
SC2,5/19/2021,0.0062,0.319,2.4558,0.019435737,0.002524636,0.129896571,25.5,,,,2.5,32.79319444,-79.87646389
SC3,5/19/2021,0.0012,0.274,3.4083,0.004379562,0.000352082,0.080391984,25,,,,2.5,32.80481667,-79.86159722
SR1,5/19/2021,0.0062,0.267,6.0023,0.023220974,0.001032937,0.044482948,28.5,,,,1.045,32.66838056,-79.99750278
WC1,5/19/2021,0.0072,0.326,6.6958,0.02208589,0.001075301,0.048687237,24.5,,,,0.8019,32.76715278,-79.97273889
WR1,5/19/2021,0.0042,0.347,5.9428,0.012103746,0.000706738,0.058389985,25.5,,,,1.881,32.85537778,-79.90159167
