"","Variable","PC1","PC2","PC3","PC4","PC5","PC6","Site"
"1","Tidal Height",-0.317408567523931,-0.382533734761196,-0.462831855063492,-0.716411635296911,0.048102714754323,-0.152141101005001,"AR1"
"2","Chlorophyll",-0.595047504644903,0.218265950962683,-0.0838419040639127,0.333317406654982,0.520662816549993,-0.457229389773002,"AR1"
"3","Phycocyanin",0.117661698303793,-0.601287268470179,-0.275934813321489,0.511096077952912,-0.345157293737886,-0.410020201948468,"AR1"
"4","Temperature",-0.33519460663538,0.534118751700713,-0.306144973874151,0.0230731368094978,-0.71133735048838,-0.0458671330449436,"AR1"
"5","Nitrate",0.330213987122251,0.19913064887922,-0.780135371125895,0.205135708149707,0.315848567901817,0.317574453475587,"AR1"
"6","Phosphate",0.556712934663751,0.345753786608753,-0.0167703771131412,-0.267995608047673,0.0412511676146634,-0.704783993229735,"AR1"
"7","Tidal Height",0.0366492589991187,0.74838107948634,-0.0371291647934365,-0.551476859202911,-0.331875488341997,-0.151446197723385,"AR2"
"8","Chlorophyll",-0.507409791346721,0.189238193760694,0.404713411696404,-0.0481342000202864,0.59959991410875,-0.425551766357409,"AR2"
"9","Phycocyanin",0.515233828348234,0.385517895981911,0.0209864697077584,0.0608391915865956,0.620183629137909,0.444005046152552,"AR2"
"10","Temperature",-0.594013039930063,-0.0580778570567231,-0.0735223789335295,-0.341071975678915,0.0494828350123462,0.720826808015851,"AR2"
"11","Nitrate",-0.131211657605587,0.0103609172672713,-0.904621418984141,-0.0558964631945138,0.315998630402748,-0.247702829218455,"AR2"
"12","Phosphate",0.325051145033137,-0.50200620681403,0.103162957087703,-0.755248606836196,0.208343908023733,-0.133720916760024,"AR2"
"13","Tidal Height",-0.183742440357631,0.655223145895786,-0.152145971191011,-0.363561037635121,0.599368336639966,-0.1495122640164,"AR3"
"14","Chlorophyll",0.426430169328971,0.208773370664982,0.340099849564444,-0.639053059245303,-0.452279264118848,-0.214377558132429,"AR3"
"15","Phycocyanin",-0.593116307636174,0.236895437234395,-0.0780008906479556,-0.228092627641254,-0.456643659023334,0.570490824099014,"AR3"
"16","Temperature",0.637330291720517,0.118968186067251,-0.260931469681197,-0.0215858708426693,0.159818546696835,0.696823880475544,"AR3"
"17","Nitrate",0.161795255568554,0.619586578366466,-0.245377923698634,0.551148285098004,-0.413979199169521,-0.233626266146338,"AR3"
"18","Phosphate",0.0155391905988269,-0.270066479247497,-0.852528005127146,-0.321213216745661,-0.175376417291517,-0.25706771960365,"AR3"
"19","Tidal Height",0.449502218345475,-0.311316700423099,0.369272073503345,-0.575890816940657,0.403369836908419,0.265160979607879,"CC1"
"20","Chlorophyll",-0.573023346317278,0.0340449926520282,0.220199136901758,0.071788210946777,0.0505199525620323,0.783767637964584,"CC1"
"21","Phycocyanin",-0.378167868815555,-0.457438738548239,-0.284506187626678,-0.592192048361613,-0.455454942235674,-0.0930831140616071,"CC1"
"22","Temperature",-0.333125999514928,-0.378704080235147,0.706724676108722,0.212980844658304,0.0299377582400265,-0.447094409134861,"CC1"
"23","Nitrate",0.461142495803658,-0.378089344522963,0.13606854237233,0.362243287598683,-0.625048416423852,0.322452594367871,"CC1"
"24","Phosphate",-0.054366628408426,-0.637420048445168,-0.465007837564149,0.368678393709334,0.485509538955003,0.0535200163974051,"CC1"
"25","Tidal Height",0.027297969799344,0.691006437296117,0.450893746157339,-0.533920130525066,0.179885343698034,-0.0320984653698394,"CH1"
"26","Chlorophyll",0.519519556960396,0.308602789417252,-0.109056460726698,0.106388859131752,-0.726731460828152,-0.288986558802579,"CH1"
"27","Phycocyanin",-0.405720777591735,0.52857116474653,-0.249827111847082,0.348619215233617,-0.205439075773366,0.574324836247121,"CH1"
"28","Temperature",0.536998423341887,-0.211427227804235,-0.0265235810690705,-0.329074362666759,-0.046541111303089,0.745500978612876,"CH1"
"29","Nitrate",-0.349276086614615,-0.0745223294811496,-0.577958769757099,-0.680886862530815,-0.251972997890756,-0.106390727770947,"CH1"
"30","Phosphate",-0.392917052389399,-0.31246103041729,0.622613919170015,-0.100888512284833,-0.575882771406842,0.13607624242929,"CH1"
"31","Tidal Height",-0.226987638991965,0.720823417995626,0.139024357730879,-0.58952343983634,0.222589708361766,-0.111706648801341,"CH2"
"32","Chlorophyll",0.288009636586073,0.649734495411454,-0.317189335390625,0.448852235185583,-0.238433121183229,0.368738088502077,"CH2"
"33","Phycocyanin",-0.441716989521594,-0.0473107827810968,-0.519987260618701,0.216210921296953,0.678897395310335,0.156882771353784,"CH2"
"34","Temperature",0.521787122105406,0.139475144011763,0.266773120964537,0.331041065590479,0.556084519753954,-0.467224576752368,"CH2"
"35","Nitrate",-0.317889955343354,0.0542026763982651,0.733454499367933,0.324785356212437,0.144021175927248,0.481482000488588,"CH2"
"36","Phosphate",-0.545066360770089,0.183382467668887,0.0235159850740637,0.434940119610778,-0.320514746727255,-0.61385496726657,"CH2"
"37","Tidal Height",-0.141879221372965,-0.531184888148471,0.317519346201847,-0.637530806460604,0.389229973828977,-0.197354666070087,"CH3"
"38","Chlorophyll",-0.379009316257581,-0.63322615693125,-0.212382714673139,0.160214647383098,-0.288225047760808,0.549115419090831,"CH3"
"39","Phycocyanin",0.293261302270715,-0.365950825632548,-0.657979966203397,0.26328023474078,0.403544829261413,-0.339080012173432,"CH3"
"40","Temperature",-0.49607517386847,0.132334166528375,0.24661468750323,0.488646056997517,0.652440169358167,0.105475791236461,"CH3"
"41","Nitrate",-0.258496458435354,0.40258603998932,-0.565158252751696,-0.509669181957765,0.260152756245158,0.352502594471726,"CH3"
"42","Phosphate",-0.661293456924226,0.0579602516781158,-0.202273964278479,-0.00562241191337493,-0.330484929941874,-0.639660000308973,"CH3"
"43","Tidal Height",-0.451979422577288,0.400429847276932,-0.0137620479719718,-0.599835170339414,-0.232309507088999,-0.470543522271897,"CS1"
"44","Chlorophyll",0.577597481440309,-0.281233846089474,-0.0763284047758798,0.044496799764816,-0.35583832596756,-0.67295004900453,"CS1"
"45","Phycocyanin",-0.429992806259917,-0.535536588966593,-0.0212139544697803,0.0571402666200444,-0.688463153910602,0.224967091407964,"CS1"
"46","Temperature",0.487576768966059,0.444391064998423,0.0676621530332375,-0.250081651774268,-0.515775445000206,0.481292184168603,"CS1"
"47","Nitrate",-0.119595387990038,0.258647886428892,0.806775803888936,0.45311299026525,-0.172859320062753,-0.180884741747517,"CS1"
"48","Phosphate",0.158643547304535,-0.457582643133409,0.581437171242094,-0.605888255921752,0.222542603108752,0.103708131973087,"CS1"
"49","Tidal Height",0.332974534829472,-0.672242332126956,0.159237881713074,-0.230236278014479,-0.469493920245759,-0.372059428341024,"FB1"
"50","Chlorophyll",-0.290591103700944,-0.651355859497514,-0.189948127769555,0.597593695508774,0.152098957005839,0.273787775239993,"FB1"
"51","Phycocyanin",0.463123506596495,0.118948583101367,0.50020269967817,0.322436724487637,-0.288352223791627,0.577972893124514,"FB1"
"52","Temperature",-0.498352207235494,-0.0950828086667426,-0.0641442367368007,-0.509538470532827,-0.423113577430636,0.547572188459133,"FB1"
"53","Nitrate",-0.350095652032848,-0.166881158427733,0.80444750713768,-0.161578330982546,0.410998647206585,-0.0861421882746025,"FB1"
"54","Phosphate",-0.468272889684996,0.269790593295625,0.192639534292599,0.447404269179286,-0.570394051294922,-0.381187083399088,"FB1"
"55","Tidal Height",-0.199068936466033,0.571736738078509,-0.363533122411987,0.125073336645154,-0.680305590687452,0.151239193051487,"FC1"
"56","Chlorophyll",0.194593042841629,-0.589250782818516,-0.0321603395991576,-0.43086423973234,-0.642173171888003,-0.125906312031777,"FC1"
"57","Phycocyanin",0.542481662766785,0.39847038021504,-0.0930893233318165,-0.142529546722637,0.0399313807831201,-0.718582070938653,"FC1"
