"","Site","X Variable","Y Variable","R Squared","P Value"
"1","AR1","Temperature","Chlorophyll Concentration",0.0604893711285196,0.257961706639658
"2","AR2","Temperature","Chlorophyll Concentration",0.0233354396619451,0.466008483095299
"3","AR3","Temperature","Chlorophyll Concentration",0.00381091304478883,0.764497214644553
"4","CC1","Temperature","Chlorophyll Concentration",0.0899001121661207,0.164533061287324
"5","CH1","Temperature","Chlorophyll Concentration",0.0618773191677482,0.252397009994213
"6","CH2","Temperature","Chlorophyll Concentration",0.0674202629483231,0.243232407598048
"7","CH3","Temperature","Chlorophyll Concentration",1.308564741857e-05,0.987252964601336
"8","CS1","Temperature","Chlorophyll Concentration",0.18974202867784,0.0261296258876521
"9","FB1","Temperature","Chlorophyll Concentration",6.49422493424365e-06,0.990142281554282
"10","FC1","Temperature","Chlorophyll Concentration",0.00466981276722987,0.745508766475199
"11","HC1","Temperature","Chlorophyll Concentration",0.0947263641975339,0.17469721098308
"12","HC2","Temperature","Chlorophyll Concentration",0.110864287985121,0.111868627045211
"13","JIC1","Temperature","Chlorophyll Concentration",0.308784379009267,0.00590641718173359
"14","JIC2","Temperature","Chlorophyll Concentration",0.212326583950308,0.017833588761841
"15","SC1","Temperature","Chlorophyll Concentration",0.189825361297258,0.0333264003976904
"16","SC2","Temperature","Chlorophyll Concentration",0.275549981393336,0.00589840723207112
"17","SC3","Temperature","Chlorophyll Concentration",0.0441931456539281,0.302643038403194
"18","SR1","Temperature","Chlorophyll Concentration",0.101588358245792,0.148252676160601
"19","WC1","Temperature","Chlorophyll Concentration",0.0234746007989157,0.454913337787855
"20","WR1","Temperature","Chlorophyll Concentration",0.0890276344996276,0.166696324795528
"21","AR1","Temperature","Phycocyanin Concentration",0.196567759923729,0.0441080061735025
"22","AR2","Temperature","Phycocyanin Concentration",0.238066986446394,0.0212423733639572
"23","AR3","Temperature","Phycocyanin Concentration",0.254257036191722,0.0141483628532496
"24","CC1","Temperature","Phycocyanin Concentration",0.0696215630908807,0.260971026090296
"25","CH1","Temperature","Phycocyanin Concentration",0.39154870768796,0.00316738800880374
"26","CH2","Temperature","Phycocyanin Concentration",0.208829274419921,0.0428027247038536
"27","CH3","Temperature","Phycocyanin Concentration",0.0199901097647223,0.563694415324856
"28","CS1","Temperature","Phycocyanin Concentration",0.376193810115802,0.00185638619787295
"29","FB1","Temperature","Phycocyanin Concentration",0.231978382055879,0.0199619414151402
"30","FC1","Temperature","Phycocyanin Concentration",0.356490710421258,0.00334900567337429
"31","HC1","Temperature","Phycocyanin Concentration",0.0971467876713138,0.193940197351838
"32","HC2","Temperature","Phycocyanin Concentration",0.00995088637018052,0.667039138438535
"33","JIC1","Temperature","Phycocyanin Concentration",0.325141693854955,0.00695620041548996
"34","JIC2","Temperature","Phycocyanin Concentration",0.384721930317691,0.00159180364599199
"35","SC1","Temperature","Phycocyanin Concentration",0.000119614373800189,0.962472502475192
"36","SC2","Temperature","Phycocyanin Concentration",0.224992351096973,0.0222089383049785
"37","SC3","Temperature","Phycocyanin Concentration",0.012107133021782,0.617222075643225
"38","SR1","Temperature","Phycocyanin Concentration",0.232533706617829,0.0313013312611782
"39","WC1","Temperature","Phycocyanin Concentration",0.172976683747347,0.0483993249741625
"40","WR1","Temperature","Phycocyanin Concentration",0.131735023958229,0.11575350583028
"41","AR1","Temperature","Phycoerytherin Concentration",0.166206326683089,0.059651815269925
"42","AR2","Temperature","Phycoerytherin Concentration",0.00580911328866589,0.723360733604454
"43","AR3","Temperature","Phycoerytherin Concentration",0.0912409669338069,0.142235446982169
"44","CC1","Temperature","Phycoerytherin Concentration",0.121762097537596,0.111462030166543
"45","CH1","Temperature","Phycoerytherin Concentration",0.323264557803179,0.00576256826845877
"46","CH2","Temperature","Phycoerytherin Concentration",0.20130055648119,0.0413436905244051
"47","CH3","Temperature","Phycoerytherin Concentration",0.00488873034868729,0.763292465475415
"48","CS1","Temperature","Phycoerytherin Concentration",0.150177735483151,0.0556204925523994
"49","FB1","Temperature","Phycoerytherin Concentration",0.20501760350863,0.023036417760911
"50","FC1","Temperature","Phycoerytherin Concentration",0.00232170610622759,0.823083390960824
"51","HC1","Temperature","Phycoerytherin Concentration",0.0599272951021747,0.298235939712567
"52","HC2","Temperature","Phycoerytherin Concentration",0.00844541775147628,0.676650406801377
"53","JIC1","Temperature","Phycoerytherin Concentration",0.212706370783138,0.0307402280337176
"54","JIC2","Temperature","Phycoerytherin Concentration",0.208644750364075,0.0217114407604752
"55","SC1","Temperature","Phycoerytherin Concentration",0.052521767867478,0.292854583457579
"56","SC2","Temperature","Phycoerytherin Concentration",0.0392116540787575,0.342697479353931
"57","SC3","Temperature","Phycoerytherin Concentration",0.0155572164549127,0.552483968252564
"58","SR1","Temperature","Phycoerytherin Concentration",0.0980526296429236,0.155906696000572
"59","WC1","Temperature","Phycoerytherin Concentration",0.0319188510724463,0.392847695407315
"60","WR1","Temperature","Phycoerytherin Concentration",0.000556041778418008,0.91704200438644
"61","AR1","Salinity","Chlorophyll Concentration",0.0160546265674148,0.616366882047892
"62","AR2","Salinity","Chlorophyll Concentration",7.07390555827457e-05,0.971926584946635
"63","AR3","Salinity","Chlorophyll Concentration",0.106608373820026,0.160012124633283
"64","CC1","Salinity","Chlorophyll Concentration",0.0116460673000866,0.650642165429358
"65","CH1","Salinity","Chlorophyll Concentration",0.106487792157756,0.172717099666216
"66","CH2","Salinity","Chlorophyll Concentration",0.0352070135048602,0.470813297194935
"67","CH3","Salinity","Chlorophyll Concentration",0.000201732753320942,0.953979565253403
"68","CS1","Salinity","Chlorophyll Concentration",0.183613845977359,0.0594255872468324
"69","FB1","Salinity","Chlorophyll Concentration",0.17416739548128,0.0671339193938576
"70","FC1","Salinity","Chlorophyll Concentration",0.00556175848799857,0.761563619377476
"71","HC1","Salinity","Chlorophyll Concentration",0.00691321314561318,0.751049398884318
"72","HC2","Salinity","Chlorophyll Concentration",0.176277799122603,0.0653317520889961
"73","JIC1","Salinity","Chlorophyll Concentration",0.0614293004703373,0.321377535286966
"74","JIC2","Salinity","Chlorophyll Concentration",0.0871302556058835,0.206423801390512
"75","SC1","Salinity","Chlorophyll Concentration",0.00267376025342564,0.828596932406115
"76","SC2","Salinity","Chlorophyll Concentration",0.0665978798972291,0.27197186490794
"77","SC3","Salinity","Chlorophyll Concentration",0.521550652193678,0.000323565211981117
"78","SR1","Salinity","Chlorophyll Concentration",0.36973526590734,0.00960771756136916
"79","WC1","Salinity","Chlorophyll Concentration",0.160300450837404,0.0802436731480002
"80","WR1","Salinity","Chlorophyll Concentration",4.7774581524734e-05,0.977595870019021
"81","AR1","Salinity","Phycocyanin Concentration",0.23736338639414,0.0556102740786054
"82","AR2","Salinity","Phycocyanin Concentration",0.123125983305986,0.16729350827907
"83","AR3","Salinity","Phycocyanin Concentration",0.118024043298431,0.176980671857747
"84","CC1","Salinity","Phycocyanin Concentration",0.0155965899928976,0.632952545025861
"85","CH1","Salinity","Phycocyanin Concentration",0.047703146421079,0.416415286535739
"86","CH2","Salinity","Phycocyanin Concentration",0.146130709532303,0.159672538629715
"87","CH3","Salinity","Phycocyanin Concentration",0.0839776547173224,0.276284641253977
"88","CS1","Salinity","Phycocyanin Concentration",0.0504430170735752,0.38613685767336
"89","FB1","Salinity","Phycocyanin Concentration",0.28804640791284,0.0263336538855474
"90","FC1","Salinity","Phycocyanin Concentration",0.00093080954287999,0.910694609326339
"91","HC1","Salinity","Phycocyanin Concentration",0.0173862775836232,0.639476500914505
"92","HC2","Salinity","Phycocyanin Concentration",0.079643347254102,0.272441416378601
"93","JIC1","Salinity","Phycocyanin Concentration",0.277181844884833,0.0361623184080411
"94","JIC2","Salinity","Phycocyanin Concentration",0.0580714520892935,0.351471274690157
"95","SC1","Salinity","Phycocyanin Concentration",0.229263619289972,0.0518381987265001
"96","SC2","Salinity","Phycocyanin Concentration",0.152800219201729,0.120798306899518
"97","SC3","Salinity","Phycocyanin Concentration",4.61606139970107e-05,0.979353561976955
"98","SR1","Salinity","Phycocyanin Concentration",0.376303055835399,0.0150119787717825
"99","WC1","Salinity","Phycocyanin Concentration",0.119395377570995,0.174320547815064
"100","WR1","Salinity","Phycocyanin Concentration",0.0126286760843917,0.67860817028504
"101","AR1","Salinity","Phycoerytherin Concentration",0.0937057053161835,0.232104087887534
"102","AR2","Salinity","Phycoerytherin Concentration",0.0237006726825061,0.52917522442382
"103","AR3","Salinity","Phycoerytherin Concentration",0.0305829106362819,0.473942047388163
"104","CC1","Salinity","Phycoerytherin Concentration",0.0997100520803307,0.187851664626053
"105","CH1","Salinity","Phycoerytherin Concentration",0.067590696697742,0.297468344376643
"106","CH2","Salinity","Phycoerytherin Concentration",0.02524517737981,0.556700828951489
"107","CH3","Salinity","Phycoerytherin Concentration",0.0132407500078406,0.649352780475809
"108","CS1","Salinity","Phycoerytherin Concentration",0.207796257347131,0.0498210753314364
"109","FB1","Salinity","Phycoerytherin Concentration",0.248720025470003,0.0297414079845473
"110","FC1","Salinity","Phycoerytherin Concentration",0.237797164325694,0.0400879948951121
"111","HC1","Salinity","Phycoerytherin Concentration",0.00204868070859291,0.867805046134336
"112","HC2","Salinity","Phycoerytherin Concentration",0.088945301826398,0.214904009573078
"113","JIC1","Salinity","Phycoerytherin Concentration",0.172898414253021,0.0969125538327101
"114","JIC2","Salinity","Phycoerytherin Concentration",0.0213346810164207,0.550728310929728
"115","SC1","Salinity","Phycoerytherin Concentration",0.0328311014464993,0.45786695961323
"116","SC2","Salinity","Phycoerytherin Concentration",0.107142804862545,0.171324758481711
"117","SC3","Salinity","Phycoerytherin Concentration",0.00743742911118764,0.725552053824286
"118","SR1","Salinity","Phycoerytherin Concentration",0.124150836096184,0.165415263442415
"119","WC1","Salinity","Phycoerytherin Concentration",0.0116059979998151,0.660668274552333
"120","WR1","Salinity","Phycoerytherin Concentration",0.0118157322541608,0.667673174361626
"121","AR1","Phosphate","Chlorophyll Concentration",0.221997851413289,0.0762562253900527
"122","AR2","Phosphate","Chlorophyll Concentration",0.139805058564053,0.139281205586928
"123","AR3","Phosphate","Chlorophyll Concentration",0.0249184830586487,0.545116184440263
"124","CC1","Phosphate","Chlorophyll Concentration",0.00855217154966503,0.724080257261823
"125","CH1","Phosphate","Chlorophyll Concentration",0.271036329818672,0.0386806704923832
"126","CH2","Phosphate","Chlorophyll Concentration",0.0317609422147593,0.542149927480443
"127","CH3","Phosphate","Chlorophyll Concentration",0.46446997210352,0.00364520187727581
"128","CS1","Phosphate","Chlorophyll Concentration",0.0315213015335742,0.495419109736893
"129","FB1","Phosphate","Chlorophyll Concentration",0.0603988499847288,0.34169964376498
"130","FC1","Phosphate","Chlorophyll Concentration",0.0164595826196435,0.635844615877719
"131","HC1","Phosphate","Chlorophyll Concentration",0.129613793308916,0.206085820359232
"132","HC2","Phosphate","Chlorophyll Concentration",0.00368364076154781,0.817007848106464
"133","JIC1","Phosphate","Chlorophyll Concentration",0.00767062787434067,0.756276988720309
"134","JIC2","Phosphate","Chlorophyll Concentration",0.332719354059355,0.0153472640524668
"135","SC1","Phosphate","Chlorophyll Concentration",1.16901765461902e-05,0.989609120271271
"136","SC2","Phosphate","Chlorophyll Concentration",0.161036046224821,0.110377382577767
"137","SC3","Phosphate","Chlorophyll Concentration",0.00312442297397777,0.831265878796181
"138","SR1","Phosphate","Chlorophyll Concentration",0.000991317687589322,0.904516807057849
"139","WC1","Phosphate","Chlorophyll Concentration",0.00121525200650961,0.894332063381039
"140","WR1","Phosphate","Chlorophyll Concentration",0.146890605664223,0.14282775523593
"141","AR1","Phosphate","Phycocyanin Concentration",0.0946349418269977,0.284644072240381
"142","AR2","Phosphate","Phycocyanin Concentration",0.0250213251885327,0.573400913491279
"143","AR3","Phosphate","Phycocyanin Concentration",0.00194553326298588,0.875966302367094
"144","CC1","Phosphate","Phycocyanin Concentration",0.273966553318473,0.0452464597700393
"145","CH1","Phosphate","Phycocyanin Concentration",0.00994908728061342,0.734411097289492
"146","CH2","Phosphate","Phycocyanin Concentration",0.348587278574277,0.0336362827161942
"147","CH3","Phosphate","Phycocyanin Concentration",0.115086759091977,0.235388850445212
